Digits,Method,Time
0,Given algorithm,1.0251998901367188e-05
10,Given algorithm,1.5020370483398438e-05
20,Given algorithm,1.4781951904296875e-05
30,Given algorithm,1.8596649169921875e-05
40,Given algorithm,2.2411346435546875e-05
50,Given algorithm,2.6464462280273438e-05
60,Given algorithm,3.075599670410156e-05
70,Given algorithm,3.5762786865234375e-05
80,Given algorithm,4.1961669921875e-05
90,Given algorithm,4.7206878662109375e-05
100,Given algorithm,5.316734313964844e-05
110,Given algorithm,5.817413330078125e-05
120,Given algorithm,6.29425048828125e-05
130,Given algorithm,6.866455078125e-05
140,Given algorithm,7.462501525878906e-05
150,Given algorithm,7.915496826171875e-05
160,Given algorithm,8.630752563476562e-05
170,Given algorithm,9.036064147949219e-05
180,Given algorithm,9.989738464355469e-05
190,Given algorithm,0.00010538101196289062
200,Given algorithm,0.00011157989501953125
210,Given algorithm,0.00020074844360351562
220,Given algorithm,0.00012612342834472656
230,Given algorithm,0.0001323223114013672
240,Given algorithm,0.0001366138458251953
250,Given algorithm,0.00014519691467285156
260,Given algorithm,0.0001537799835205078
270,Given algorithm,0.0001595020294189453
280,Given algorithm,0.00016808509826660156
290,Given algorithm,0.00017499923706054688
300,Given algorithm,0.0001811981201171875
0,My algorithm,3.337860107421875e-06
10,My algorithm,8.821487426757812e-06
20,My algorithm,8.106231689453125e-06
30,My algorithm,1.1205673217773438e-05
40,My algorithm,1.4543533325195312e-05
50,My algorithm,1.71661376953125e-05
60,My algorithm,2.0503997802734375e-05
70,My algorithm,2.3603439331054688e-05
80,My algorithm,2.6941299438476562e-05
90,My algorithm,3.123283386230469e-05
100,My algorithm,3.4809112548828125e-05
110,My algorithm,3.838539123535156e-05
120,My algorithm,4.1961669921875e-05
130,My algorithm,4.57763671875e-05
140,My algorithm,5.078315734863281e-05
150,My algorithm,5.4836273193359375e-05
160,My algorithm,5.793571472167969e-05
170,My algorithm,6.175041198730469e-05
180,My algorithm,6.67572021484375e-05
190,My algorithm,7.128715515136719e-05
200,My algorithm,7.82012939453125e-05
210,My algorithm,8.0108642578125e-05
220,My algorithm,8.559226989746094e-05
230,My algorithm,9.059906005859375e-05
240,My algorithm,9.5367431640625e-05
250,My algorithm,0.00010085105895996094
260,My algorithm,0.00010728836059570312
270,My algorithm,0.00010991096496582031
280,My algorithm,0.00011682510375976562
290,My algorithm,0.00012063980102539062
300,My algorithm,0.00012564659118652344
310,My algorithm,0.00013446807861328125
320,My algorithm,0.00013756752014160156
330,My algorithm,0.00014352798461914062
340,My algorithm,0.00014901161193847656
350,My algorithm,0.00016117095947265625
360,My algorithm,0.0001633167266845703
370,My algorithm,0.00016760826110839844
380,My algorithm,0.00017452239990234375
390,My algorithm,0.00018453598022460938
400,My algorithm,0.0001900196075439453
410,My algorithm,0.0001952648162841797
420,My algorithm,0.00020170211791992188
430,My algorithm,0.00021386146545410156
440,My algorithm,0.00022029876708984375
450,My algorithm,0.0002238750457763672
460,My algorithm,0.00023651123046875
470,My algorithm,0.00024247169494628906
480,My algorithm,0.00024819374084472656
490,My algorithm,0.0002613067626953125
500,My algorithm,0.0002665519714355469
510,My algorithm,0.000274658203125
520,My algorithm,0.0002830028533935547
530,My algorithm,0.00029730796813964844
540,My algorithm,0.0003008842468261719
550,My algorithm,0.0003082752227783203
560,My algorithm,0.00031685829162597656
570,My algorithm,0.0003342628479003906
580,My algorithm,0.0003426074981689453
590,My algorithm,0.0003464221954345703
600,My algorithm,0.00036263465881347656
610,My algorithm,0.00037097930908203125
620,My algorithm,0.0003802776336669922
630,My algorithm,0.00039458274841308594
640,My algorithm,0.00040078163146972656
650,My algorithm,0.0004069805145263672
660,My algorithm,0.0004177093505859375
670,My algorithm,0.00045418739318847656
680,My algorithm,0.00044798851013183594
690,My algorithm,0.0004546642303466797
700,My algorithm,0.00046539306640625
710,My algorithm,0.0004992485046386719
720,My algorithm,0.0005006790161132812
730,My algorithm,0.0005071163177490234
740,My algorithm,0.0005180835723876953
750,My algorithm,0.0005743503570556641
760,My algorithm,0.0006742477416992188
770,My algorithm,0.0006928443908691406
780,My algorithm,0.0005719661712646484
790,My algorithm,0.0005924701690673828
800,My algorithm,0.0006003379821777344
810,My algorithm,0.0006093978881835938
820,My algorithm,0.0006229877471923828
830,My algorithm,0.0006461143493652344
840,My algorithm,0.0006604194641113281
850,My algorithm,0.0006651878356933594
860,My algorithm,0.0006799697875976562
870,My algorithm,0.0007491111755371094
880,My algorithm,0.0008144378662109375
890,My algorithm,0.0007369518280029297
900,My algorithm,0.000759124755859375
910,My algorithm,0.0007717609405517578
920,My algorithm,0.0007808208465576172
930,My algorithm,0.0008077621459960938
940,My algorithm,0.0008134841918945312
950,My algorithm,0.0008308887481689453
960,My algorithm,0.0008618831634521484
970,My algorithm,0.000934600830078125
980,My algorithm,0.0008916854858398438
990,My algorithm,0.0009212493896484375
1000,My algorithm,0.0009334087371826172
