Digits,Method,Error
310,Given algorithm,math range error
320,Given algorithm,math range error
330,Given algorithm,math range error
340,Given algorithm,math range error
350,Given algorithm,math range error
360,Given algorithm,math range error
370,Given algorithm,math range error
380,Given algorithm,math range error
390,Given algorithm,math range error
400,Given algorithm,math range error
410,Given algorithm,math range error
420,Given algorithm,math range error
430,Given algorithm,math range error
440,Given algorithm,math range error
450,Given algorithm,math range error
460,Given algorithm,math range error
470,Given algorithm,math range error
480,Given algorithm,math range error
490,Given algorithm,math range error
500,Given algorithm,math range error
510,Given algorithm,math range error
520,Given algorithm,math range error
530,Given algorithm,math range error
540,Given algorithm,math range error
550,Given algorithm,math range error
560,Given algorithm,math range error
570,Given algorithm,math range error
580,Given algorithm,math range error
590,Given algorithm,math range error
600,Given algorithm,math range error
610,Given algorithm,math range error
620,Given algorithm,math range error
630,Given algorithm,math range error
640,Given algorithm,math range error
650,Given algorithm,math range error
660,Given algorithm,math range error
670,Given algorithm,math range error
680,Given algorithm,math range error
690,Given algorithm,math range error
700,Given algorithm,math range error
710,Given algorithm,math range error
720,Given algorithm,math range error
730,Given algorithm,math range error
740,Given algorithm,math range error
750,Given algorithm,math range error
760,Given algorithm,math range error
770,Given algorithm,math range error
780,Given algorithm,math range error
790,Given algorithm,math range error
800,Given algorithm,math range error
810,Given algorithm,math range error
820,Given algorithm,math range error
830,Given algorithm,math range error
840,Given algorithm,math range error
850,Given algorithm,math range error
860,Given algorithm,math range error
870,Given algorithm,math range error
880,Given algorithm,math range error
890,Given algorithm,math range error
900,Given algorithm,math range error
910,Given algorithm,math range error
920,Given algorithm,math range error
930,Given algorithm,math range error
940,Given algorithm,math range error
950,Given algorithm,math range error
960,Given algorithm,math range error
970,Given algorithm,math range error
980,Given algorithm,math range error
990,Given algorithm,math range error
1000,Given algorithm,math range error
